epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5963.29,0.5902,0.47755,1.14682,0.97764,0.9596,0.99162,0.93381,0.32364,0.24697,0.93195,0.0008647,0.0008647,0.0008647
43,6104.19,0.601,0.49774,1.15868,0.97502,0.96145,0.99047,0.93286,0.32017,0.24507,0.93307,0.0008614,0.0008614,0.0008614
44,6244.85,0.6062,0.49738,1.16802,0.97661,0.96071,0.99033,0.93469,0.32136,0.24246,0.93311,0.0008581,0.0008581,0.0008581
45,6384.59,0.59363,0.48554,1.14866,0.97282,0.96588,0.9912,0.9319,0.32645,0.24878,0.93228,0.0008548,0.0008548,0.0008548
46,6524.57,0.59264,0.47706,1.1522,0.9768,0.96022,0.98956,0.93495,0.31382,0.23576,0.93143,0.0008515,0.0008515,0.0008515
47,6664.48,0.60215,0.48234,1.16093,0.97573,0.96558,0.99139,0.93559,0.31517,0.23977,0.93045,0.0008482,0.0008482,0.0008482
48,6804.17,0.58267,0.46984,1.14469,0.97684,0.96305,0.99103,0.93906,0.31,0.23761,0.92325,0.0008449,0.0008449,0.0008449
49,6943.91,0.59602,0.48464,1.15011,0.97907,0.96229,0.99041,0.93622,0.31435,0.23755,0.91934,0.0008416,0.0008416,0.0008416
50,7083.38,0.59075,0.47534,1.15031,0.97919,0.96197,0.99204,0.94134,0.30243,0.23021,0.91824,0.0008383,0.0008383,0.0008383
51,7223.29,0.58049,0.45799,1.1431,0.98106,0.96337,0.99194,0.9401,0.30566,0.22956,0.92274,0.000835,0.000835,0.000835
52,7362.42,0.58312,0.46579,1.14757,0.97771,0.96148,0.99129,0.93959,0.30508,0.23257,0.92011,0.0008317,0.0008317,0.0008317
53,7501.15,0.58364,0.4673,1.14307,0.9832,0.96598,0.9925,0.94115,0.301,0.22652,0.91656,0.0008284,0.0008284,0.0008284
54,7639.84,0.57175,0.45574,1.12877,0.97608,0.96662,0.99211,0.94231,0.30373,0.22596,0.91635,0.0008251,0.0008251,0.0008251
55,7778.62,0.57115,0.45243,1.13042,0.98102,0.96744,0.99228,0.94317,0.29982,0.22387,0.91237,0.0008218,0.0008218,0.0008218
56,7917.28,0.57105,0.4517,1.13078,0.97593,0.96945,0.9924,0.94246,0.29995,0.22522,0.91979,0.0008185,0.0008185,0.0008185
57,8056.19,0.57305,0.45192,1.13904,0.98356,0.96516,0.99269,0.94397,0.29763,0.21702,0.91402,0.0008152,0.0008152,0.0008152
58,8196.38,0.56607,0.45733,1.12927,0.98444,0.96736,0.99284,0.94571,0.29513,0.22307,0.91211,0.0008119,0.0008119,0.0008119
59,8336.44,0.55891,0.44754,1.12475,0.98717,0.96243,0.99234,0.94541,0.28595,0.21356,0.90472,0.0008086,0.0008086,0.0008086
60,8474.96,0.56642,0.44668,1.1268,0.98494,0.96687,0.99271,0.94691,0.29379,0.21854,0.90834,0.0008053,0.0008053,0.0008053
61,8613.88,0.56687,0.45482,1.13402,0.98314,0.97143,0.99329,0.94878,0.29049,0.21626,0.90428,0.000802,0.000802,0.000802
62,8753.07,0.54986,0.43282,1.11748,0.98083,0.97048,0.99265,0.9495,0.2803,0.20852,0.90091,0.0007987,0.0007987,0.0007987
63,8892.94,0.55772,0.438,1.12782,0.98136,0.97179,0.99271,0.94637,0.28344,0.2119,0.90261,0.0007954,0.0007954,0.0007954
64,9032.01,0.55176,0.43292,1.11556,0.98047,0.97068,0.99317,0.94867,0.27923,0.20897,0.89934,0.0007921,0.0007921,0.0007921
65,9170.73,0.54395,0.43278,1.11262,0.98084,0.97102,0.993,0.95103,0.27984,0.21272,0.90258,0.0007888,0.0007888,0.0007888
66,9310.61,0.56124,0.44815,1.12686,0.98353,0.97076,0.9935,0.94971,0.28704,0.2119,0.90812,0.0007855,0.0007855,0.0007855
67,9464.58,0.55924,0.43826,1.12729,0.98438,0.97012,0.99322,0.95143,0.27896,0.20572,0.90477,0.0007822,0.0007822,0.0007822
68,9619.08,0.54303,0.4288,1.11252,0.98402,0.96613,0.99311,0.95039,0.27322,0.20537,0.89486,0.0007789,0.0007789,0.0007789
69,9768.18,0.55055,0.43669,1.12151,0.97911,0.96965,0.99284,0.95047,0.28023,0.21502,0.90097,0.0007756,0.0007756,0.0007756
70,9920,0.54904,0.43168,1.11508,0.98189,0.96831,0.99322,0.9533,0.2759,0.20536,0.89827,0.0007723,0.0007723,0.0007723
71,10071.5,0.55333,0.42141,1.11836,0.98212,0.97448,0.99364,0.95584,0.27388,0.20086,0.89568,0.000769,0.000769,0.000769
72,10223.1,0.54115,0.42123,1.10992,0.98326,0.96955,0.99327,0.95481,0.26955,0.2003,0.89265,0.0007657,0.0007657,0.0007657
73,10374,0.54817,0.42633,1.11183,0.98378,0.97114,0.99324,0.95113,0.28247,0.2041,0.90072,0.0007624,0.0007624,0.0007624
74,10526,0.53862,0.41872,1.10828,0.98788,0.96995,0.99359,0.95383,0.27497,0.19893,0.89571,0.0007591,0.0007591,0.0007591
